  9809     SPring-8 14b2 
 Fe-K_Fe-foil_S  12.06.21 07:32 - 12.06.21 07:36
 Fe-foil                                                                         
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 17.09889 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4522
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       17.00000  13.20000    -0.000840       0.05      4522
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   282.500   132.700
  16.99832  16.99558     0.051     13025     11829
  16.99748  16.99472     0.051     13035     11836
  16.99664  16.99390     0.051     13022     11830
  16.99580  16.99310     0.051     13022     11836
  16.99496  16.99236     0.051     13015     11836
  16.99412  16.99168     0.051     13012     11830
  16.99328  16.99097     0.051     13008     11834
  16.99244  16.99024     0.051     12993     11821
  16.99160  16.98947     0.051     12990     11822
  16.99076  16.98860     0.051     12962     11806
  16.98992  16.98769     0.051     12954     11798
  16.98908  16.98680     0.051     12919     11767
  16.98824  16.98589     0.051     12859     11720
  16.98740  16.98500     0.051     12765     11635
  16.98656  16.98417     0.051     12541     11438
  16.98572  16.98336     0.051     12162     11094
  16.98488  16.98259     0.051     11634     10616
  16.98404  16.98189     0.051     11168     10192
  16.98320  16.98119     0.051     11046     10086
  16.98236  16.98046     0.051     11360     10375
  16.98152  16.97971     0.051     11975     10938
  16.98068  16.97887     0.051     12530     11449
  16.97984  16.97796     0.051     12861     11755
  16.97900  16.97708     0.051     12969     11856
  16.97816  16.97618     0.051     13002     11887
  16.97732  16.97528     0.051     12989     11880
  16.97648  16.97443     0.051     12966     11863
  16.97564  16.97362     0.051     12938     11845
  16.97480  16.97283     0.051     12889     11803
  16.97396  16.97212     0.051     12825     11746
  16.97312  16.97143     0.051     12691     11629
  16.97228  16.97071     0.051     12476     11434
  16.97144  16.96997     0.051     12114     11107
  16.97060  16.96917     0.051     11721     10746
  16.96976  16.96827     0.051     11479     10530
  16.96892  16.96737     0.051     11590     10636
