  9809     SPring-8 14b2 
 Ni-K_Ni-foil_S  13.11.27 04:47 - 13.11.27 04:48
 Ni-foil                                                                         
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 28.38767 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4486
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       28.25000  22.55000    -0.001270       0.01      4486
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   165.500   111.100
  28.24746  28.24233     0.010       820      1015
  28.24619  28.24117     0.010       815      1011
  28.24492  28.24007     0.010       817      1011
  28.24365  28.23890     0.010       814      1009
  28.24238  28.23757     0.010       816      1010
  28.24111  28.23616     0.010       814      1007
  28.23984  28.23476     0.010       814      1012
  28.23857  28.23342     0.010       820      1016
  28.23730  28.23218     0.010       815      1010
  28.23603  28.23104     0.010       815      1010
  28.23476  28.22994     0.010       818      1013
  28.23349  28.22877     0.010       813      1010
  28.23222  28.22744     0.010       812      1007
  28.23095  28.22602     0.010       818      1016
  28.22968  28.22464     0.010       813      1009
  28.22841  28.22330     0.010       820      1016
  28.22714  28.22206     0.010       816      1014
  28.22587  28.22093     0.010       816      1013
  28.22460  28.21982     0.010       814      1011
  28.22333  28.21862     0.010       814      1011
  28.22206  28.21727     0.010       816      1014
  28.22079  28.21584     0.010       817      1015
  28.21952  28.21446     0.010       817      1016
  28.21825  28.21314     0.010       818      1015
  28.21698  28.21191     0.010       817      1016
  28.21571  28.21078     0.010       812      1010
  28.21444  28.20967     0.010       817      1016
  28.21317  28.20844     0.010       818      1017
  28.21190  28.20708     0.010       817      1015
  28.21063  28.20566     0.010       818      1018
  28.20936  28.20428     0.010       818      1018
  28.20809  28.20298     0.010       816      1014
  28.20682  28.20177     0.010       816      1017
  28.20555  28.20066     0.010       813      1014
  28.20428  28.19955     0.010       816      1017
  28.20301  28.19831     0.010       819      1022
  28.20174  28.19694     0.010       815      1015
  28.20047  28.19552     0.010       817      1017
  28.19920  28.19415     0.010       819      1020
  28.19793  28.19284     0.010       816      1016
  28.19666  28.19164     0.010       817      1018
  28.19539  28.19053     0.010       815      1016
  28.19412  28.18941     0.010       818      1020
  28.19285  28.18815     0.010       819      1023
  28.19158  28.18676     0.010       817      1020
  28.19031  28.18535     0.010       817      1019
  28.18904  28.18398     0.010       815      1018
  28.18777  28.18269     0.010       818      1020
  28.18650  28.18150     0.010       817      1020
  28.18523  28.18039     0.010       818      1022
  28.18396  28.17926     0.010       815      1019
  28.18269  28.17798     0.010       820      1024
  28.18142  28.17659     0.010       818      1023
  28.18015  28.17519     0.010       815      1018
  28.17888  28.17383     0.010       818      1021
  28.17761  28.17256     0.010       815      1020
  28.17634  28.17139     0.010       817      1023
  28.17507  28.17029     0.010       823      1027
  28.17380  28.16915     0.010       817      1023
  28.17253  28.16786     0.010       817      1024
  28.17126  28.16645     0.010       818      1021
  28.16999  28.16505     0.010       816      1021
  28.16872  28.16369     0.010       819      1026
  28.16745  28.16243     0.010       818      1024
  28.16618  28.16127     0.010       821      1027
  28.16491  28.16016     0.010       821      1028
  28.16364  28.15900     0.010       819      1024
  28.16237  28.15766     0.010       821      1026
  28.16110  28.15624     0.010       816      1024
  28.15983  28.15482     0.010       816      1024
  28.15856  28.15346     0.010       825      1033
  28.15729  28.15220     0.010       820      1029
  28.15602  28.15105     0.010       824      1032
  28.15475  28.14995     0.010       823      1032
  28.15348  28.14877     0.010       818      1027
  28.15221  28.14744     0.010       821      1029
  28.15094  28.14602     0.010       820      1028
  28.14967  28.14464     0.010       819      1027
  28.14840  28.14330     0.010       827      1038
  28.14713  28.14207     0.010       823      1031
  28.14586  28.14093     0.010       825      1034
  28.14459  28.13982     0.010       825      1035
  28.14332  28.13862     0.010       820      1030
  28.14205  28.13727     0.010       820      1030
  28.14078  28.13584     0.010       825      1037
  28.13951  28.13446     0.010       823      1033
  28.13824  28.13313     0.010       826      1039
  28.13697  28.13190     0.010       824      1036
  28.13570  28.13077     0.010       825      1035
  28.13443  28.12966     0.010       824      1036
  28.13316  28.12843     0.010       823      1035
  28.13189  28.12705     0.010       826      1038
  28.13062  28.12563     0.010       827      1039
  28.12935  28.12425     0.010       824      1038
  28.12808  28.12293     0.010       826      1039
  28.12681  28.12172     0.010       825      1037
  28.12554  28.12061     0.010       822      1036
  28.12427  28.11949     0.010       826      1039
  28.12300  28.11824     0.010       826      1039
  28.12173  28.11686     0.010       827      1042
  28.12046  28.11544     0.010       830      1044
  28.11919  28.11407     0.010       825      1041
  28.11792  28.11277     0.010       830      1043
  28.11665  28.11156     0.010       827      1042
  28.11538  28.11045     0.010       826      1040
  28.11411  28.10931     0.010       831      1047
  28.11284  28.10803     0.010       826      1042
  28.11157  28.10663     0.010       830      1047
  28.11030  28.10521     0.010       833      1049
  28.10903  28.10383     0.010       830      1045
  28.10776  28.10254     0.010       830      1048
  28.10649  28.10136     0.010       827      1044
  28.10522  28.10025     0.010       829      1045
  28.10395  28.09909     0.010       834      1053
  28.10268  28.09777     0.010       830      1047
  28.10141  28.09635     0.010       835      1054
  28.10014  28.09494     0.010       833      1051
  28.09887  28.09359     0.010       830      1048
  28.09760  28.09233     0.010       834      1054
  28.09633  28.09117     0.010       832      1050
  28.09506  28.09006     0.010       833      1056
  28.09379  28.08889     0.010       837      1056
  28.09252  28.08755     0.010       834      1053
  28.09125  28.08613     0.010       837      1059
  28.08998  28.08473     0.010       833      1054
  28.08871  28.08337     0.010       833      1054
  28.08744  28.08212     0.010       838      1059
  28.08617  28.08097     0.010       833      1054
  28.08490  28.07986     0.010       839      1063
  28.08363  28.07865     0.010       840      1064
  28.08236  28.07729     0.010       836      1058
  28.08109  28.07586     0.010       839      1063
  28.07982  28.07447     0.010       839      1062
  28.07855  28.07313     0.010       838      1062
  28.07728  28.07190     0.010       838      1063
  28.07601  28.07077     0.010       843      1066
  28.07474  28.06966     0.010       840      1064
  28.07347  28.06844     0.010       839      1063
  28.07220  28.06707     0.010       843      1069
  28.07093  28.06565     0.010       838      1064
  28.06966  28.06427     0.010       837      1063
  28.06839  28.06296     0.010       842      1069
  28.06712  28.06175     0.010       842      1068
  28.06585  28.06063     0.010       842      1068
  28.06458  28.05952     0.010       842      1069
  28.06331  28.05827     0.010       843      1071
  28.06204  28.05689     0.010       840      1067
  28.06077  28.05546     0.010       839      1066
  28.05950  28.05409     0.010       843      1070
  28.05823  28.05279     0.010       845      1074
  28.05696  28.05159     0.010       847      1074
  28.05569  28.05048     0.010       842      1071
  28.05442  28.04935     0.010       846      1075
  28.05315  28.04807     0.010       841      1070
  28.05188  28.04668     0.010       843      1071
  28.05061  28.04526     0.010       845      1074
  28.04934  28.04389     0.010       847      1077
  28.04807  28.04260     0.010       846      1076
  28.04680  28.04142     0.010       845      1075
  28.04553  28.04031     0.010       846      1078
  28.04426  28.03918     0.010       846      1075
  28.04299  28.03789     0.010       844      1075
  28.04172  28.03649     0.010       844      1074
  28.04045  28.03509     0.010       845      1078
  28.03918  28.03374     0.010       849      1079
  28.03791  28.03247     0.010       846      1079
  28.03664  28.03131     0.010       852      1085
  28.03537  28.03020     0.010       843      1076
  28.03410  28.02905     0.010       845      1075
  28.03283  28.02774     0.010       848      1083
  28.03156  28.02632     0.010       845      1077
  28.03029  28.02491     0.010       846      1080
  28.02902  28.02355     0.010       852      1088
  28.02775  28.02228     0.010       846      1081
  28.02648  28.02111     0.010       848      1080
  28.02521  28.01999     0.010       845      1078
  28.02394  28.01878     0.010       850      1085
  28.02267  28.01739     0.010       853      1088
  28.02140  28.01593     0.010       849      1086
  28.02013  28.01450     0.010       856      1094
  28.01886  28.01314     0.010       851      1089
  28.01759  28.01189     0.010       855      1092
  28.01632  28.01075     0.010       855      1092
  28.01505  28.00963     0.010       854      1093
  28.01378  28.00840     0.010       856      1093
  28.01251  28.00703     0.010       857      1096
  28.01124  28.00560     0.010       861      1101
  28.00997  28.00423     0.010       859      1100
  28.00870  28.00292     0.010       855      1095
  28.00743  28.00171     0.010       858      1098
  28.00616  28.00058     0.010       856      1096
  28.00489  27.99946     0.010       860      1102
  28.00362  27.99821     0.010       859      1101
  28.00235  27.99681     0.010       861      1103
  28.00108  27.99539     0.010       859      1101
  27.99981  27.99402     0.010       858      1099
  27.99854  27.99271     0.010       860      1101
  27.99727  27.99152     0.010       860      1103
  27.99600  27.99040     0.010       857      1098
  27.99473  27.98926     0.010       861      1104
  27.99346  27.98796     0.010       867      1112
  27.99219  27.98655     0.010       860      1104
  27.99092  27.98513     0.010       858      1101
  27.98965  27.98376     0.010       862      1105
  27.98838  27.98248     0.010       863      1109
  27.98711  27.98131     0.010       860      1103
  27.98584  27.98019     0.010       863      1109
  27.98457  27.97904     0.010       865      1111
  27.98330  27.97772     0.010       866      1113
  27.98203  27.97630     0.010       866      1112
  27.98076  27.97489     0.010       864      1112
  27.97949  27.97353     0.010       867      1113
  27.97822  27.97227     0.010       865      1112
  27.97695  27.97110     0.010       867      1114
  27.97568  27.96999     0.010       868      1116
  27.97441  27.96880     0.010       870      1117
  27.97314  27.96745     0.010       864      1112
  27.97187  27.96602     0.010       870      1119
  27.97060  27.96462     0.010       864      1112
  27.96933  27.96328     0.010       867      1115
  27.96806  27.96203     0.010       874      1124
  27.96679  27.96088     0.010       868      1118
  27.96552  27.95977     0.010       869      1120
  27.96425  27.95855     0.010       872      1123
  27.96298  27.95718     0.010       869      1118
  27.96171  27.95575     0.010       869      1120
  27.96044  27.95437     0.010       869      1118
  27.95917  27.95305     0.010       871      1123
  27.95790  27.95182     0.010       876      1128
  27.95663  27.95070     0.010       871      1120
  27.95536  27.94958     0.010       873      1125
  27.95409  27.94833     0.010       875      1129
  27.95282  27.94695     0.010       869      1121
  27.95155  27.94552     0.010       876      1130
  27.95028  27.94413     0.010       874      1129
  27.94901  27.94282     0.010       872      1125
  27.94774  27.94162     0.010       878      1133
  27.94647  27.94049     0.010       875      1129
  27.94520  27.93936     0.010       877      1134
  27.94393  27.93807     0.010       875      1129
  27.94266  27.93667     0.010       874      1130
  27.94139  27.93524     0.010       879      1134
  27.94012  27.93386     0.010       874      1131
  27.93885  27.93256     0.010       878      1134
  27.93758  27.93138     0.010       882      1139
  27.93631  27.93026     0.010       876      1133
  27.93504  27.92911     0.010       877      1133
  27.93377  27.92780     0.010       880      1138
  27.93250  27.92639     0.010       879      1136
  27.93123  27.92499     0.010       879      1137
  27.92996  27.92362     0.010       881      1140
  27.92869  27.92235     0.010       882      1141
  27.92742  27.92119     0.010       882      1142
  27.92615  27.92008     0.010       878      1137
  27.92488  27.91891     0.010       880      1138
  27.92361  27.91757     0.010       883      1143
  27.92234  27.91614     0.010       882      1143
  27.92107  27.91474     0.010       884      1146
  27.91980  27.91339     0.010       884      1145
  27.91853  27.91213     0.010       885      1148
  27.91726  27.91098     0.010       884      1145
  27.91599  27.90986     0.010       882      1145
  27.91472  27.90866     0.010       884      1146
